Data Series,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 
    Private Transport,103.486,101.431,99.222,96.197,100.279,99.68,100,98.641,109.898
      Cars,na,111.914,109.812,104.337,104.327,99.149,100,100.999,115.494
      Motorcycles,na,99.393,119.743,123.846,123.774,122.387,100,117.56,139.579
      Petrol,na,93.802,89.354,85.863,93.673,99.914,100,92.687,109.088
      Other Private Transport,na,91.719,90.165,90.897,98.393,99.355,100,95.284,93.196
    Public Transport,96.902,98.876,100.906,100.807,98.612,97.584,100,103.075,104.895
      Bus & Train Fares,na,100.403,103.057,102.118,97.866,95.785,100,106.961,106.996
      Point-To-Point Transport Services,na,99.323,99.669,100,100,100,100,99.043,103.631
      Other Public Transport,na,87.915,92.391,95.814,98,99.577,100,97.67,97.253
    Other Transport Services,102.122,103.285,100.085,97.781,97.779,99.261,100,96.935,100.839
      Air Fares,na,103.453,100.213,97.84,97.776,99.261,100,96.615,100.542
      Other Transport,na,99.384,97.123,96.41,97.866,99.263,100,106.022,109.262
  Communication,101.619,101.426,101.766,101.387,101.951,100.924,100,100.681,100.095
    Postage & Courier Services,91.942,95.227,100.018,100.018,100.018,100.018,100.001,102.522,92.955
    Telecommunication Equipment,116.795,117.942,118.188,119.92,118.718,111.59,100,98.548,94.782
    Telecommunication Services,100.998,100.728,101.046,100.572,101.217,100.455,100,100.816,100.493
  Recreation & Culture,94.593,96.255,96.573,97.462,97.781,98.948,100,98.21,99.228
    Recreational & Cultural Goods,103.154,103.549,103.371,102.806,101.919,101.507,100,99.17,98.893
      Information Processing Equipment,na,104.469,104.091,103.343,102.373,99.853,100,99.174,95.969
      Audio-Visual Equipment & Others,na,117.333,114.669,113.141,109.113,110.38,100,93.602,96.035
      Games & Toys,na,99.953,100.903,99.886,99.652,97.579,100,100.957,98.822
      Pets & Related Products,na,96.64,96.833,96.651,98.456,99.848,100,100.314,100.604
      Other Recreational & Cultural Goods,na,96.014,97.172,98.033,98.347,99.289,100,101.391,103.231
    Recreational & Cultural Services,93.57,95.935,96.421,96.89,97.599,98.697,100,99.831,101.068
      Sport Services & Other Fees,na,93.746,94.253,96.268,97.933,98.57,100,99.489,101.528
      Cinema Tickets,na,95.491,98.386,94.043,94.527,96.367,100,104.064,106.689
      Charges To Places Of Interest,na,99.173,91.323,92.714,95.05,98.371,100,90.569,92.63
      Other Recreational & Cultural Services,na,98.26,99.269,99.432,98.755,99.771,100,100.014,99.417
"    Newspapers, Books & Stationery",92.376,92.607,93.971,98.745,99.794,99.83,100,100.47,100.74
      Newspapers & Magazines,na,87.607,87.507,98.044,100.016,99.93,100,100,100
      Books & Stationery,na,96.6,99.133,99.305,99.616,99.75,100,100.761,101.197
    Holiday Expenses,92.511,94.39,94.615,95.757,96.128,98.076,100,97.03,98.369
      Package Tours,na,95.77,95.672,96.356,96.016,97.691,100,98.695,100.026
      Hotels & Other Expenses,na,89.064,90.535,93.444,96.559,99.561,100,92.746,94.102
  Education,83.568,86.422,89.395,92.145,94.924,97.661,100,99.37,100.633
    Tuition & Other Fees,83.371,86.264,89.267,92.043,94.852,97.624,100,99.358,100.636
      Primary Education,na,104,101,100,100,100,100,100,100
      Secondary Education,na,103.788,98.855,98.233,100.49,100.223,100.001,100.389,100.422
"      Other General, Vocational & Higher Education",na,86.319,89.214,91.543,94.355,97.825,100,97.582,98.413
      Enrichment & Supplementary Courses,na,82.073,86.905,91.267,94.436,96.704,100,102.553,105.096
    Textbooks & Study Guides,96.769,98.611,99.195,99.969,100.457,100.461,100,100.444,100.355
  Miscellaneous Goods & Services,97.168,98.327,98.284,98.53,98.67,99.635,100,98.823,98.282
    Personal Care,101.097,100.754,100.359,100.405,99.423,99.298,100,99.947,98.496
      Hairdressing,na,96.476,97.351,97.855,98.532,98.538,100,99.914,99.715
      Personal Grooming Services,na,99.081,99.347,99.661,100.116,99.92,100,100.671,101.049
      Other Personal Care,na,102.921,101.816,101.593,99.447,99.306,100,99.657,97.114
    Alcoholic Drinks & Tobacco,88.162,93.399,94.347,94.528,94.8,99.57,100,99.024,98.947
      Spirits & Wine,na,105.323,103.234,103.07,103.893,102.004,100,97.588,97.84
      Beer,na,105.546,107.636,106.626,103.803,101.01,100,96.158,95.32
      Cigarettes,na,89.621,90.94,91.348,91.956,98.945,100,99.879,99.879
    Personal Effects,98.529,98.66,97.443,98.802,101.139,100.58,100,94.88,96.432
      Jewellery & Watches,na,100.737,101.829,101.545,101.823,99.996,100,98.31,97.139
      Other Personal Effects,na,98.191,96.454,98.183,100.984,100.711,100,93.133,96.071
    Social Services,na,94.88,97.454,97.872,97.994,99.774,100,97.078,95.309
    Other Miscellaneous Services,na,97.695,98.02,97.944,100.033,100.065,100,100.039,100.02
All Items Less Imputed Rentals On Owner-Occupied Accommodation,94.717,95.875,95.944,96.202,97.85,99.098,100,99.683,102.128
All Items Less Accommodation,94.421,95.566,95.658,95.971,97.742,99.067,100,99.657,102.197
