"","Rank","Username","Score","Country","Accepted","Partial","Failed"
"229",229,"Random52",10000,"Singapore",100,0,0
"230",230,"Hengweezy",9969.74,"Singapore",98,4,1
"231",231,"sidpark1",9954.42,"India",95,13,5
"232",232,"dev1634",9902.49,"Singapore",94,14,22
"233",233,"dumgod",9838,"Singapore",97,5,2
"234",234,"56cy",9772.64,"Singapore",94,11,19
"235",235,"altuser1609",9760,"Singapore",97,1,1
"236",236,"nyoomeric",9663,"Singapore",94,7,2
"237",237,"blob",9655,"Singapore",91,20,23
"238",238,"Daniel0liong",9651.36,"Singapore",90,19,20
"239",239,"nguyendinhanh1508",9635,"Singapore",94,7,13
"240",240,"lHog",9556.64,"Singapore",87,26,27
"241",241,"OSoverspike",9455,"Singapore",88,23,18
"242",242,"vivaan",9441.49,"India",91,9,4
"243",243,"glog",9411,"India",92,9,11
"244",244,"PanGD",9403,"Singapore",87,24,7
"245",245,"VendxGreyback",9366.1,"India",89,12,6
"246",246,"aufan",9349,"Indonesia",93,1,2
"247",247,"hi",9305,"Singapore",88,12,9
"248",248,"Frosetrain",9282.01,"Singapore",89,12,8
"249",249,"JP",9256,"Singapore",91,7,9
"250",250,"pengzhehan62",9233.73,"Singapore",88,18,9
"251",251,"shzh05",9225,"Singapore",90,7,9
"252",251,"penguinzzz",9225,"Singapore",89,9,4
"253",253,"helloworld",9145.79,"Singapore",88,9,14
"254",254,"newplayer",9050,"Singapore",89,4,4
"255",255,"Sktlzz",9033,"Singapore",84,17,16
"256",256,"saarang",9014,"India",88,5,7
"257",257,"gekki",9000,"Singapore",90,0,2
"258",258,"YTj",8955.06,"Singapore",88,6,8
"259",259,"MS",8841,"Singapore",87,5,11
"260",260,"SB",8830,"Singapore",86,6,3
"261",261,"4f5da2",8779,"Singapore",83,16,5
"262",262,"wellcashewKJ",8774,"Singapore",81,20,14
"263",263,"geometric2",8765,"Singapore",85,6,9
"264",264,"chlxi",8759.41,"Singapore",83,19,28
"265",265,"ianzz",8752.83,"Singapore",81,20,8
"266",266,"realemeralds",8739,"Singapore",85,7,2
"267",267,"chiefoggy",8694,"Singapore",82,14,16
"268",268,"Johnnie",8693,"Singapore",86,3,4
"269",269,"feilinlp",8690,"Singapore",85,9,5
"270",270,"R1",8630,"Singapore",85,6,7
"271",271,"duck",8617.78,"Singapore",82,7,2
"272",272,"JoshuaPyh",8560,"Singapore",81,10,36
"273",273,"ethanlinHoucheng",8556,"Singapore",79,16,6
"274",274,"mariannacao",8542,"Singapore",83,8,9
"275",275,"zjz1",8527,"Singapore",84,2,3
"276",276,"asbx",8381,"Singapore",79,21,40
"277",277,"skytect",8306,"Singapore",83,1,8
"278",278,"UnovaFrosmoth",8280,"Singapore",79,12,10
"279",279,"red24",8269,"N/A",78,11,6
"280",280,"AnnoyingGuest",8259.44,"Singapore",79,15,12
"281",281,"akshitcoding04",8245,"Singapore",82,3,11
"282",282,"jae",8200,"United States",82,0,0
"283",283,"huanrongnush",8165.05,"Singapore",78,19,12
"284",284,"SongWei6339",8150,"Singapore",81,2,4
"285",285,"jxlau",8135,"Singapore",80,4,2
"286",286,"darrryl",8107,"Singapore",77,12,16
"287",287,"trackster04",8100,"Singapore",81,0,11
"288",288,"poxman100",8035,"Singapore",79,8,2
"289",289,"fwyr",8010.01,"Singapore",80,2,1
"290",290,"Iurgned",8004,"Singapore",80,1,2
"291",291,"SiddhantAttavar",7946,"India",78,4,0
"292",292,"dedekindcompleteness21",7915,"Singapore",78,3,14
"293",293,"anandsundaram",7867,"Singapore",78,1,2
"294",294,"PorridgePi",7862,"Singapore",78,2,3
"295",295,"tyjun",7847,"Singapore",77,6,5
"296",296,"hail",7777,"India",75,6,1
"297",297,"Kanish",7739,"Singapore",77,2,19
"298",298,"P55D2K",7689.34,"Singapore",75,4,18
"299",299,"myoldaccountgone",7633,"Singapore",74,8,5
"300",300,"600Mihnea",7630,"Romania",76,1,1
"301",301,"yf004",7627,"Singapore",70,21,10
"302",302,"parthkabra",7616,"India",74,6,23
"303",303,"jiaxi",7596,"Singapore",74,6,7
"304",304,"Zixuan",7563.32,"Singapore",73,8,3
"305",305,"bakchormee",7546,"Singapore",75,1,6
"306",306,"jw",7500,"Singapore",75,0,0
"307",307,"Brayden",7466,"Singapore",72,10,7
"308",308,"jpfr12",7454,"Portugal",74,2,4
"309",309,"fqdingsky",7423,"Singapore",71,13,9
"310",310,"azazo",7405.11,"Singapore",68,18,13
"311",311,"giaan1231",7352,"Singapore",72,5,3
"312",312,"Duk168",7283,"Singapore",72,2,6
"313",313,"ybc",7275.94,"Singapore",69,10,4
"314",314,"thegrimbee",7228.98,"Singapore",67,16,9
"315",315,"00cqx7",7227,"Singapore",72,2,5
"316",316,"fanyinuo2021",7206,"Singapore",71,2,1
"317",317,"Jianjia",7194,"Singapore",70,10,7
"318",318,"Poket",7157,"Singapore",68,10,18
"319",319,"taka",7148,"Singapore",70,4,10
"320",320,"Mingy",7133,"Singapore",70,4,5
"321",321,"Yuzzll",7122.66,"Singapore",70,5,17
"322",322,"akshtsinghania",7100,"India",71,0,0
"323",323,"gtiamthebest",7081.74,"Singapore",69,7,12
"324",324,"tqbfjotld",7050.1,"Singapore",56,41,5
"325",325,"andthatsallshewrote",7010,"Singapore",69,4,4
"326",326,"JDAED",7000,"Singapore",70,0,2
"327",326,"lijia1",7000,"Singapore",70,0,0
"328",328,"dminh",6986.01,"Singapore",67,8,13
"329",329,"niloyroot",6980,"India",66,11,6
"330",330,"scape167",6945,"Singapore",69,1,2
"331",331,"HYW",6930,"Singapore",66,13,14
"332",332,"gordonlu",6880,"Hong Kong",66,6,9
"333",333,"arujbansal",6871,"India",67,3,3
"334",334,"skillissue123",6856.01,"Singapore",68,4,7
"335",335,"simu",6851,"Singapore",65,10,4
"336",336,"asruby",6830.28,"Singapore",65,9,11
"337",337,"sreeeeeeeeeed",6799.01,"Singapore",63,13,19
"338",338,"thisusernameistaken",6789,"Singapore",65,8,2
"339",339,"acertainsomeone",6754,"Singapore",67,3,13
"340",340,"Fuhrer101",6689,"Singapore",66,1,7
"341",341,"zhongjun0",6673,"Singapore",65,4,10
"342",342,"JerryCodebreaker",6666,"Singapore",65,5,5
"343",343,"Longcx",6652,"Singapore",66,2,3
"344",344,"YH",6633,"Singapore",60,15,15
"345",345,"RaynerSim",6600,"Singapore",66,0,9
"346",346,"cyhg",6571,"Singapore",64,7,11
"347",347,"ciganrea",6531.6,"Singapore",65,3,1
"348",348,"habibielukman",6524.46,"Indonesia",62,9,13
"349",349,"nigelh",6513,"Singapore",62,14,15
"350",350,"vishalmohanty",6438,"Singapore",61,10,5
"351",351,"rajatshenoi",6430,"India",63,3,1
"352",352,"onebit1024",6427,"India",62,6,0
"353",353,"Stucknight",6424,"Singapore",64,1,4
"354",354,"PrunJuice",6403,"Singapore",63,4,9
"355",355,"yblog",6401,"Singapore",61,10,0
"356",356,"wrizz69",6310,"Singapore",61,6,15
"357",357,"6root2i",6292,"Singapore",61,5,2
"358",358,"Twinkie",6281,"Singapore",62,3,6
"359",359,"nyanyanya",6254,"Japan",62,3,3
"360",360,"Kannan",6215,"Singapore",55,22,39
"361",361,"zongwq",6155,"Singapore",61,1,3
"362",362,"dillion",6154.01,"Singapore",61,2,3
"363",363,"Kishan",6063,"Singapore",59,5,6
"364",364,"LT",6050,"Singapore",60,1,14
"365",365,"boorlarishitfan666",6040,"Singapore",60,1,3
"366",366,"TheLegendaryZHR",6024,"Singapore",60,2,2
"367",367,"G92",6010,"Singapore",60,1,2
"368",368,"EternalTempest",6000,"Singapore",60,0,0
"369",369,"jh",5980,"Singapore",59,2,4
"370",370,"Aryan",5979,"Singapore",56,13,37
"371",371,"Unforgettablepl",5953,"India",59,1,0
"372",372,"kvankok",5891,"Singapore",57,7,8
"373",373,"cOoKiEs",5888.15,"Singapore",57,7,5
"374",374,"LiuZq",5883,"Singapore",56,6,10
"375",375,"chowgz",5872,"Singapore",57,5,5
"376",376,"shenxy13",5842,"Singapore",58,3,2
"377",377,"thatlycheeoolongdrink",5834.55,"Singapore",56,9,11
"378",378,"YNWAPythoner",5824,"Singapore",57,2,3
"379",379,"probird69",5808,"Singapore",56,6,1
"380",380,"bobtan123",5800,"Singapore",58,0,0
"381",381,"TingAn1212",5783,"Singapore",56,5,4
"382",382,"2Princes1Lance",5780,"Singapore",56,6,11
"383",383,"ryanc",5770,"Singapore",57,3,2
"384",384,"fastfoodsworker",5759,"Singapore",56,6,14
"385",385,"MagicHenry",5749,"Singapore",56,4,1
"386",386,"yoonjoooo",5705,"Singapore",56,3,9
"387",386,"lololol",5705,"Singapore",55,3,3
"388",388,"ilovehoangyen",5700,"Viet Nam",57,0,1
"389",388,"PuR3Luck",5700,"Singapore",57,0,0
"390",390,"Sadbus",5664,"India",52,12,3
"391",391,"AidanOng",5653,"Singapore",56,2,12
"392",392,"StormyGood",5649.83,"Singapore",55,3,8
"393",393,"Ninja106",5634,"Singapore",54,8,5
"394",394,"Logout",5631,"Singapore",55,4,7
"395",395,"ICantRemember",5614.33,"Singapore",53,8,3
"396",396,"Daddy",5561,"Singapore",54,8,7
"397",397,"SilverClaw",5532,"Singapore",54,4,3
"398",398,"nonnoxer",5521,"Singapore",54,3,2
"399",399,"adityaagarwal",5512,"India",53,8,0
"400",400,"raysh07",5506,"India",51,13,3
"401",401,"Ski3r3n",5489.61,"Singapore",51,11,8
"402",402,"chog",5474.37,"Singapore",53,7,9
"403",403,"shark25361",5461,"India",53,6,10
"404",404,"cjcube",5460.07,"Singapore",54,3,8
"405",405,"Ben",5439,"Singapore",53,4,3
"406",406,"Greninja",5418.04,"Singapore",53,2,6
"407",407,"arnaque",5405,"Singapore",52,10,11
"408",408,"zhengyang",5401,"Singapore",53,5,8
"409",409,"liliputian",5400,"Singapore",54,0,2
"410",409,"wafer",5400,"Singapore",54,0,0
"411",411,"dantoh",5382.81,"Singapore",44,32,4
"412",412,"boaznumberd5555",5363,"Singapore",53,3,6
"413",413,"wakandaaa",5357,"Viet Nam",52,4,3
"414",414,"themadpotato",5356,"Singapore",52,3,2
"415",415,"sabkx",5315.93,"Singapore",51,8,3
"416",416,"lzh7522",5313,"Singapore",51,5,9
"417",417,"atkh6673",5311,"Singapore",53,1,0
"418",418,"FIips",5306,"Singapore",52,3,2
"419",419,"wenchao",5276,"Singapore",52,4,2
"420",420,"lwtzjmnjhljphes",5242,"Singapore",52,2,2
"421",421,"AthanChee03",5235,"Singapore",51,4,4
"422",422,"Matthew",5228,"Singapore",50,12,3
"423",423,"impotato",5206,"Singapore",49,11,25
"424",424,"jeff_",5200,"Singapore",52,0,1
"425",424,"w4123",5200,"Singapore",52,0,0
"426",426,"ZachTAD",5189.43,"Singapore",51,2,8
"427",427,"SY",5188,"Singapore",50,7,4
"428",428,"javierkoh",5163,"Singapore",51,2,4
"429",429,"xuanhant",5162,"Singapore",47,16,19
"430",430,"aoyuki",5158,"Singapore",51,2,6
"431",431,"anonymous1",5147,"India",51,1,0
"432",432,"TienKai",5131,"Singapore",50,4,5
"433",433,"nicemiceinice",5106,"Singapore",49,3,3
"434",434,"amogus",5099,"Singapore",50,2,6
"435",435,"Dam",5088.31,"Singapore",49,6,4
"436",436,"ZRDI",5085,"Singapore",49,7,10
"437",437,"13ikaeel",5080,"Singapore",47,11,11
"438",438,"BigOhOfSquareRootOfNegativeN",5073,"Singapore",49,6,14
"439",439,"Priyankha13",5042,"Singapore",50,2,9
"440",440,"trowler",5041.02,"Singapore",46,11,4
"441",441,"BoneMeBurner",5034,"Singapore",49,3,8
"442",442,"SunnyXD",5031,"Singapore",50,1,8
"443",443,"huyleisme",5000.91,"Singapore",47,10,19
"444",444,"abcefghijkmpqrstuvwxz",4983,"Singapore",48,6,10
"445",445,"wongethan8192",4979,"Singapore",48,9,4
"446",446,"RendezvousAnonymous",4968,"Singapore",49,3,1
"447",447,"VJADITHYA",4948,"Singapore",48,6,8
"448",448,"tdb60",4947,"Singapore",48,5,4
"449",449,"harrypoggers",4931,"Singapore",49,1,1
"450",450,"mengshin",4929,"Singapore",48,5,1
"451",451,"Prawin07",4925,"Singapore",49,2,1
"452",452,"Anonymouse",4920,"Singapore",49,1,1
"453",453,"eutroph",4917,"Singapore",49,1,2
"454",454,"thbhjo",4900,"Pakistan",49,0,2
"455",455,"zsinfo2010",4848,"Singapore",48,3,19
"456",456,"Jiaming",4847,"Singapore",47,5,3
"457",457,"anusha777",4844,"India",40,23,4
"458",458,"SmolBrain",4837,"India",47,4,0
"459",459,"Benroy",4836,"Singapore",48,2,7
"460",460,"Positiveplusplus",4781,"Singapore",47,2,4
"461",461,"mathemactics",4740,"Singapore",46,3,4
"462",462,"Rongfei",4727,"Singapore",47,1,0
"463",463,"hhh",4726,"Singapore",44,8,3
"464",464,"Sahityan",4723,"Singapore",45,5,15
"465",465,"btjm123",4712,"Singapore",45,3,3
"466",466,"Terpodia",4700,"Venezuela, Bolivarian Republic Of",47,0,0
"467",466,"HaciyevAlik",4700,"Azerbaijan",47,0,0
"468",468,"apxy36",4668,"Singapore",46,2,1
"469",469,"Joashhh",4633,"Singapore",46,1,12
"470",470,"sophi",4623,"Singapore",44,9,9
"471",471,"Blender",4612,"Singapore",45,5,4
"472",472,"wayne",4588,"Singapore",43,10,14
"473",473,"acesuk168",4587,"Singapore",45,5,4
"474",474,"wHo",4584.49,"Singapore",44,7,11
"475",475,"JustKitkat",4565,"Singapore",44,6,1
"476",476,"123456789",4528,"Viet Nam",40,14,11
"477",477,"enoch06",4522,"Singapore",42,8,18
"478",478,"wenxin1017",4503,"Singapore",42,7,1
"479",479,"theodorelee",4496,"Singapore",44,4,6
"480",480,"WeeWeeTan",4492,"Singapore",42,7,8
"481",481,"Finger",4489,"Singapore",44,3,4
"482",481,"NotE4sy",4489,"Singapore",44,2,5
"483",483,"kesleryak",4482.03,"Singapore",42,12,24
"484",484,"KingKav199",4467,"Singapore",41,24,26
"485",485,"OviyanGandhi",4449,"India",42,6,1
"486",486,"Unknownflow",4444,"Singapore",42,8,8
"487",487,"Ush",4438,"Singapore",44,1,3
"488",488,"ayeohkay",4435,"Singapore",44,1,1
"489",489,"daniel",4406,"N/A",40,8,9
"490",490,"DheeruYS",4365,"India",43,3,1
"491",491,"ram",4357,"Singapore",41,10,9
"492",492,"Ytj77",4347,"Singapore",43,1,11
"493",493,"SuYing",4340,"Singapore",43,2,6
"494",494,"yikuan",4336,"Singapore",41,6,3
"495",495,"AndyBoiiii725",4332,"Singapore",43,1,19
"496",496,"zikavirus",4322,"Singapore",43,2,7
"497",497,"xh678",4300,"Australia",43,0,2
"498",497,"fundedcrops",4300,"Singapore",43,0,0
"499",499,"ShiYuXiang",4297.99,"Singapore",41,6,11
"500",500,"ac2hu",4277,"India",39,8,5
"501",501,"ZhuoXiang",4271,"Singapore",39,13,5
"502",502,"cobnet",4254.76,"Singapore",40,4,7
"503",503,"Schzeey2",4239,"Singapore",42,2,6
"504",504,"0",4235.97,"Singapore",41,2,6
"505",505,"hjc4vr",4182,"Singapore",38,11,7
"506",506,"rache07",4162,"Singapore",40,8,10
"507",507,"simu2008",4158,"Singapore",40,6,5
"508",508,"eg08",4154,"Singapore",40,6,10
"509",509,"NoynYT",4151,"Singapore",41,1,10
"510",510,"rds31415",4125,"Singapore",41,1,1
